Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.8457370341700763,0.41824357108199905,0.8147448015122873,0.5527412632253927,0.9079218714674134,0.5376357629157977
Random Forest,0.8995908437465443,0.56,0.6616257088846881,0.6065857885615251,0.929586429186104,0.6166190636905173
